range_m,azimuth_deg,peak,count,ping,t_s
53.169599999999996,21.999999999999996,9.156382125894906,1,14,14.0
63.6272,26.0,1991.330278494921,1,15,15.0
63.62056460180963,-118.00725559229225,1003.0034490212697,2,15,15.0
30.247999999999998,-29.999999999999996,10.500931914117896,1,15,15.0
58.53520000000001,100.0,10.0631144325898,1,15,15.0
93.2672,114.00000000000001,9.894728253050715,1,15,15.0
63.870400000000004,26.0,1993.9610361822797,1,16,16.0
63.86307572929262,-118.00207399501029,999.3617914298857,2,16,16.0
12.8896,-20.0,10.711402481202379,1,16,16.0
1.4136000000000002,56.0,9.794444677409174,1,16,16.0
79.2528,146.0,9.174860834402663,1,16,16.0
64.1136,26.0,1985.603789480113,1,17,17.0
64.10571659761356,-117.99786828911148,996.8279647477513,2,17,17.0
34.732,-102.0,10.403121201859195,1,17,17.0
39.7632,-16.0,9.81165777536367,1,17,17.0
35.6744,-26.0,9.46591461491333,1,17,17.0
64.3568,26.0,1991.667805955636,1,18,18.0
64.35717129211643,-117.00407491002684,997.2461031068694,2,18,18.0
11.217600000000001,-130.0,11.2102332317544,1,18,18.0
80.6968,64.0,10.957111169929481,1,18,18.0
42.803200000000004,116.00000000000001,10.794479953686308,1,18,18.0
64.60000000000001,26.0,1997.600368080527,1,19,19.0
64.60066393524573,-117.00728665183084,999.4467521271172,2,19,19.0
99.22560000000001,-128.0,11.390804121967488,1,19,19.0
32.1784,-130.0,8.677332949139599,1,19,19.0
58.1704,144.0,6.3454549977101635,1,19,19.0
64.8432,26.0,1997.8451834798343,1,20,20.0
64.85186593024159,-117.01203276764743,1002.5742669571403,2,20,20.0
97.0672,-130.0,12.075424075659194,1,20,20.0
51.0568,54.0,10.609739588733468,1,20,20.0
24.852,46.00000000000001,10.261868529416656,1,20,20.0
65.0864,26.0,1994.6879273257491,1,21,21.0
65.09405935869722,-117.0006700714494,997.0409375020419,2,21,21.0
87.99279999999997,156.0,11.949151570142892,1,21,21.0
99.14959999999999,154.0,11.73100279957907,1,21,21.0
27.7096,14.0,9.96500935566973,1,21,21.0
65.3448,26.0,1992.7152606407005,1,22,22.0
65.33709877325626,-115.99923858738576,994.3364064201653,2,22,22.0
36.0848,0.0,13.030501361937645,1,22,22.0
12.327199999999998,-62.0,11.318670154352324,1,22,22.0
12.904799999999998,-28.000000000000004,9.723003468495671,1,22,22.0
