ping,t_s,track_id,confirmed,hits,misses,x_m,y_m,vx_mps,vy_mps
4,4.0,8,False,1,2,-47.240388263719645,19.086355777178095,0.0,0.0
4,4.0,9,False,1,1,61.70089646212948,-51.773199464680374,0.0,0.0
4,4.0,10,False,1,1,62.347650393192225,-27.758962416637214,0.0,0.0
4,4.0,11,False,1,0,-3.2114796061615,-91.9647434149588,0.0,0.0
4,4.0,12,False,1,0,-61.74911649610764,-32.83258763774383,0.0,0.0
5,5.0,1,True,6,0,54.096603851968325,28.550438324432207,0.43186461678127847,-0.3326837739028476
5,5.0,2,True,6,0,-30.581731186255237,-52.97214918542392,-0.11033469636381149,-0.18833919061371307
5,5.0,3,False,2,3,-12.827994935471187,37.83224584306174,-5.275739035838196,1.6360807924077536
5,5.0,4,False,1,5,-33.37569366629205,91.69896470677207,0.0,0.0
5,5.0,5,False,3,0,2.5945767732027845,9.563197466252623,-8.248265393592185,0.7087739054955835
5,5.0,6,False,1,4,1.3192847341466267,-37.779371799306666,0.0,0.0
5,5.0,7,False,3,1,-3.020346792543728,-8.953183741028257,0.030625982522701156,1.2154184890011572
5,5.0,8,False,2,0,-63.90649849698195,41.437193319355345,-4.736606779888892,6.3522397942131565
5,5.0,9,False,1,2,61.70089646212948,-51.773199464680374,0.0,0.0
5,5.0,10,False,1,2,62.347650393192225,-27.758962416637214,0.0,0.0
5,5.0,11,False,1,1,-3.2114796061615,-91.9647434149588,0.0,0.0
5,5.0,12,False,2,0,-55.9112613743444,-34.35474077848942,2.250992785688889,-0.5869203101253272
6,6.0,1,True,7,0,54.406875955995716,28.504760413193484,0.40297862313515503,-0.26450153687566474
6,6.0,2,True,7,0,-30.710419965092118,-53.18655311732146,-0.11469496409485741,-0.19453123265693018
6,6.0,3,False,2,4,-18.10373397130938,39.468326635469495,-5.275739035838196,1.6360807924077536
6,6.0,4,False,2,0,3.487265379802686,72.83267865162394,5.9222955149208465,-3.0310025070940245
6,6.0,5,False,4,0,-3.726619320050159,6.411813756594032,-7.827572264149069,-0.13392634766967815
6,6.0,6,False,1,5,1.3192847341466267,-37.779371799306666,0.0,0.0
6,6.0,7,False,3,2,-2.989720810021027,-7.737765252027099,0.030625982522701156,1.2154184890011572
6,6.0,8,False,2,1,-68.64310527687084,47.7894331135685,-4.736606779888892,6.3522397942131565
6,6.0,9,False,2,0,48.97683609967801,-63.08258768047479,-3.616252967067158,-3.214194803081034
6,6.0,10,False,1,3,62.347650393192225,-27.758962416637214,0.0,0.0
6,6.0,11,False,1,2,-3.2114796061615,-91.9647434149588,0.0,0.0
6,6.0,12,False,2,1,-53.66026858865551,-34.94166108861475,2.250992785688889,-0.5869203101253272
7,7.0,1,True,8,0,54.670593055988746,28.541661472478662,0.3732604089377299,-0.20018264454797785
7,7.0,2,True,8,0,-30.83206403303922,-53.39959642289902,-0.11617789313441984,-0.19848168311791198
7,7.0,3,False,3,0,-31.897656906391795,23.66618763024133,-6.649063044976085,-1.175354861950672
7,7.0,4,False,2,1,9.409560894723533,69.8016761445299,5.9222955149208465,-3.0310025070940245
